Index,Date,Time,Counter,Force(kN),LVDT1,LVDT2,Chain,OutputPower,Stress [MPa],Axial Strain (%),Strain Ax [-],Strain Rad. [%],Strain Vol. [%],Strain Vol [-],Gemidd,,Derivatives
2701,44655.4051,675.272853,58351912,0.754806,-0.920263,-0.906503,22.219542,0.175812,1.095867,0.210779,0.00210779,-0.000746,0.210033,0.00210033,-0.913413,,4820.291339
2702,44655.40511,675.522853,58351913,0.771565,-0.92007,-0.905912,22.219321,0.176405,1.10818,0.210959,0.00210959,-0.000653,0.210307,0.00210307,-0.913284,,4917.543959
2703,44655.40511,675.772853,58351913,0.780581,-0.919942,-0.905747,22.219468,0.176693,1.126033,0.211133,0.00211133,-0.000839,0.210481,0.00210481,-0.912954,,4860.021424
2704,44655.40511,676.022853,58351913,0.749093,-0.920287,-0.90647,22.219247,0.175797,1.095591,0.210905,0.00210905,-0.000653,0.210252,0.00210252,-0.913324,,4927.077332
2705,44655.40512,676.272853,58351913,0.750612,-0.920257,-0.906207,22.219394,0.175906,1.118365,0.211219,0.00211219,-0.000746,0.21038,0.0021038,-0.913209,,4883.633114
2706,44655.40512,676.522853,58351914,0.776622,-0.919992,-0.905616,22.219394,0.176664,1.1192,0.211274,0.00211274,-0.000653,0.210621,0.00210621,-0.913059,,4952.2041
2707,44655.40512,676.772853,58351914,0.808133,-0.919601,-0.90509,22.219468,0.177838,1.174153,0.212174,0.00212174,-0.000839,0.211389,0.00211389,-0.912306,,4871.675393
2708,44655.40512,677.022853,58351914,0.818594,-0.919419,-0.904728,22.219394,0.178295,1.17984,0.212432,0.00212432,-0.000746,0.2115,0.002115,-0.912178,,4949.531107
2709,44655.40513,677.272853,58351914,0.805244,-0.919503,-0.904991,22.219468,0.178085,1.17183,0.212572,0.00212572,-0.000932,0.211547,0.00211547,-0.91242,,4978.543307
2710,44655.40513,677.522853,58351915,0.820956,-0.919371,-0.904827,22.219394,0.178458,1.188106,0.212562,0.00212562,-0.000653,0.211909,0.00211909,-0.912082,,4864.635822
2711,44655.40513,677.772853,58351915,0.823336,-0.919291,-0.904695,22.219468,0.178785,1.194695,0.21275,0.0021275,-0.001026,0.211838,0.00211838,-0.911916,,4814.947517
2712,44655.40514,678.022853,58351915,0.804977,-0.919498,-0.905057,22.219321,0.178147,1.180062,0.21283,0.0021283,-0.000653,0.212021,0.00212021,-0.912187,,4944.778618
2713,44655.40514,678.272853,58351915,0.825076,-0.919239,-0.904498,22.219542,0.178854,1.19067,0.212719,0.00212719,-0.000932,0.211847,0.00211847,-0.912059,,4958.905126
2714,44655.40514,678.522853,58351916,0.841613,-0.919046,-0.903841,22.219468,0.179372,1.213138,0.213198,0.00213198,-0.000653,0.212453,0.00212453,-0.911742,,4921.851937
2715,44655.40515,678.772853,58351916,0.834253,-0.919219,-0.90417,22.219468,0.179143,1.227047,0.213461,0.00213461,-0.001026,0.212704,0.00212704,-0.911294,,4943.832725
2716,44655.40515,679.022853,58351916,0.849825,-0.91889,-0.903808,22.219542,0.179817,1.226802,0.213471,0.00213471,-0.000653,0.212692,0.00212692,-0.911571,,4887.46233
2717,44655.40515,679.272853,58351916,0.864439,-0.918637,-0.903446,22.219542,0.180592,1.277425,0.214277,0.00214277,-0.000746,0.213555,0.00213555,-0.910901,,4831.566618
2718,44655.40515,679.522853,58351917,0.855876,-0.918738,-0.903611,22.219468,0.180351,1.24707,0.213866,0.00213866,-0.001026,0.213118,0.00213118,-0.911265,,4949.078212
